127.0.0.1 - - [26/Apr/2015:01:13:46 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [26/Apr/2015:01:14:19 +0800] "GET /codingYun-Demo/ HTTP/1.1" 200 13492
0:0:0:0:0:0:0:1 - - [26/Apr/2015:01:14:20 +0800] "GET /static/Font-Awesome-3.2.1/font/fontawesome-webfont.woff?v=3.2.1 HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [26/Apr/2015:01:14:21 +0800] "GET /static/Font-Awesome-3.2.1/font/fontawesome-webfont.ttf?v=3.2.1 HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [26/Apr/2015:01:15:36 +0800] "GET /system/ HTTP/1.1" 404 965
0:0:0:0:0:0:0:1 - - [26/Apr/2015:01:15:44 +0800] "GET /codingYun-Demo/system HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Apr/2015:01:15:44 +0800] "GET /system/login HTTP/1.1" 404 975
0:0:0:0:0:0:0:1 - - [26/Apr/2015:01:18:11 +0800] "GET /system/login HTTP/1.1" 404 975
0:0:0:0:0:0:0:1 - - [26/Apr/2015:01:19:58 +0800] "GET /codingYun-Demo/system HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Apr/2015:01:19:58 +0800] "GET /system/login HTTP/1.1" 404 975
0:0:0:0:0:0:0:1 - - [26/Apr/2015:01:20:11 +0800] "GET /system/login HTTP/1.1" 404 975
0:0:0:0:0:0:0:1 - - [26/Apr/2015:01:20:17 +0800] "GET /system/login HTTP/1.1" 404 975
0:0:0:0:0:0:0:1 - - [26/Apr/2015:01:20:50 +0800] "GET /system/login HTTP/1.1" 404 975
